,x(m),z(m)
228,220.44925928488536,-1116.7686382295876
229,222.3253548581071,-1121.4050974675818
230,224.2223000155773,-1126.033045891987
231,226.14052335063755,-1130.6521957930947
232,228.0804652953091,-1135.2622468986963
233,230.04257847916566,-1139.862885716708
234,232.02732809588363,-1144.4537848387608
235,234.03519227701693,-1149.0346022022643
236,236.06666247242865,-1153.604980308295
237,238.12224383667908,-1158.1645453924898
238,240.20245562051983,-1162.7129065459583
239,242.30783156647132,-1167.249654783037
240,244.4389203072645,-1171.7743620525243
241,246.5962857657046,-1176.2865801888365
242,248.78050755426054,-1180.785839799319
243,250.99218137239538,-1185.2716490837438
244,253.2319193993271,-1189.7434925818054
245,255.50035067953732,-1194.200829844219
246,257.7981214979304,-1198.6430940228047
247,260.12589574107017,-1203.0696903747382
248,262.484355240392,-1207.479994675935
249,264.8742000926869,-1211.873351538353
250,267.296148952483,-1216.2490726258206
251,269.7509392901899,-1220.606434762841
252,272.23932760903267,-1224.9446779307204
253,274.76208961284476,-1229.26300314528
254,277.32002031574245,-1233.5605702103994
255,279.9139340835195,-1237.8364953416908
256,282.5446645952966,-1242.0898486547383
257,285.2130647125106,-1246.3196515125803
258,287.9200062407291,-1250.5248737274978
259,290.66637956801117,-1254.704430612694
260,293.45309316160683,-1258.8571798801909
261,296.2810729026728,-1262.9819183822203
262,299.1512612363932,-1267.0773786946193
263,302.0646161124148,-1271.142225542297
264,305.0221096878471,-1275.1750520687772
265,308.0247267622549,-1279.174375954204
266,311.0734629110808,-1283.1386353890907
267,314.1693222808394,-1287.0661849146052
268,317.3133150062275,-1290.9552911443454
269,320.50645420609135,-1294.8041283875398
270,323.7497525120275,-1298.6107741994256
271,327.0442180804058,-1302.3732048913935
272,330.3908500358873,-1306.0892910413747
273,333.79063329227245,-1309.7567930540301
274,337.244532694933,-1313.373356830651
275,340.7534864284189,-1316.9365096203485
276,344.31839863339985,-1320.4436561371624
277,347.9401311792327,-1323.8920750421084
278,351.6194945425799,-1327.2789159048739
279,355.35723774907603,-1330.6011967766779
280,359.1540373445855,-1333.8558025235006
281,363.0104853756493,-1337.0394840870438
282,366.9270763758526,-1340.1488588588675
283,370.9041933766166,-1343.1804123704349
284,374.94209298782823,-1346.1305015172948
285,379.040889626167,-1348.9953595482023
286,383.2005390072013,-1351.7711030581615
287,387.42082106127407,-1354.453741226533
288,391.70132248249524,-1357.0391875356083
289,396.0414191740059,-1359.5232741894424
290,400.4402589096619,-1361.9017694251993
291,404.8967445904394,-1364.170397867913
292,409.40951853044373,-1366.3248640227612
293,413.9769482590276,-1368.3608789256616
294,418.5971143681106,-1370.2741898829127
295,423.2678009627773,-1372.0606131246125
296,427.986489283792,-1373.7160690768274
297,432.7503550580685,-1375.2366198277145
298,437.55627009322234,-1376.6185082284285
299,442.40080856204315,-1377.8581979376274
300,447.28025832065623,-1378.95241359716
301,452.1906374709182,-1379.8981802262108
302,457.12771621479897,-1380.6928608642186
303,462.0870438440759,-1381.3341916597171
304,467.0639803047062,-1381.8203162485622
305,472.05372993907815,-1382.1498557246916
306,477.0513676207862,-1382.3224983218163
307,482.051928839393,-1382.3464089098507
308,487.05252928193636,-1382.334267014764
309,492.0531178741845,-1382.3192068034273
310,497.05370237689306,-1382.3040910676746
311,502.0542830095542,-1382.2889910722486
312,507.054859731796,-1382.2738932698267
313,512.0554325374846,-1382.2587956186674
314,517.0560014262387,-1382.2436979922966
315,522.0565663980591,-1382.228600390996
316,527.0571274529474,-1382.2135028152995
317,532.0576845909036,-1382.1984052650926
318,537.0582378119271,-1382.183307740294
319,542.0587871160184,-1382.168210240872
320,547.0593325031768,-1382.1531127668152
321,552.0598739734025,-1382.1380153181192
322,557.0604115266957,-1382.1229178947822
323,562.0609451630561,-1382.107820496804
324,567.0614748824839,-1382.092723124184
325,572.0620006849788,-1382.0776257769223
326,577.0625225705411,-1382.062528455019
327,582.0630405391705,-1382.0474311584735
328,587.0635545908673,-1382.032333887286
329,592.0640647256312,-1382.0172366414567
330,597.0645709434623,-1382.002139420985
331,602.0650732443605,-1381.9870422258714
332,607.065571628326,-1381.9719450561154
333,612.0660660953585,-1381.9568479117172
334,617.0665566454581,-1381.9417507926767
335,622.067043278625,-1381.9266536989937
336,627.0675259948588,-1381.9115566306682
337,632.0680047941597,-1381.8964595877
338,637.0684796765279,-1381.8813625700895
339,642.0689506419628,-1381.8662655778362
340,647.069417690465,-1381.8511686109402
341,652.069880822034,-1381.8360716694015
342,657.07034003667,-1381.8209747532198
343,662.0707953343731,-1381.8058778623952
344,667.0712467151429,-1381.7907809969277
345,672.07169417898,-1381.775684156817
346,677.0721377258837,-1381.7605873420634
347,682.0725773558546,-1381.7454905526668
348,687.0730130688921,-1381.7303937886265
349,692.0734448649966,-1381.7152970499433
350,697.0738727441679,-1381.7002003366165
351,702.0742967064062,-1381.6851036486464
352,707.0747167517112,-1381.6700069860328
353,712.0751328800832,-1381.6549103487757
354,717.0755450915217,-1381.639813736875
355,722.0759533860271,-1381.6247171503308
356,727.0763577635993,-1381.6096205891427
357,732.0767582242381,-1381.5945240533108
358,737.0771547679437,-1381.579427542835
359,742.077547394716,-1381.5643310577154
360,747.0779361045551,-1381.5492345979517
361,752.0783208974607,-1381.5341381635442
362,757.078701773433,-1381.5190417544925
363,762.0790787324719,-1381.5039453707966
364,767.0794517745776,-1381.4888490124565
365,772.0798208997497,-1381.473752679472
366,777.0801861079885,-1381.4586563718433
367,782.0805473992939,-1381.4435600895702
368,787.0809047736658,-1381.4284638326526
369,792.0812582311042,-1381.4133676010904
370,797.0816077716094,-1381.3982713948837
371,802.0819533951807,-1381.3831752140322
372,807.0822951018187,-1381.3680790585363
373,812.0826328915232,-1381.3529829283952
374,817.082966764294,-1381.3378868236096
375,822.0832967201314,-1381.322790744179
376,827.0836227590352,-1381.3076946901035
377,832.0839448810053,-1381.2925986613827
378,837.0842630860419,-1381.277502658017
379,842.0845773741448,-1381.2624066800063
380,847.0848877453142,-1381.2473107273502
381,852.0851941995498,-1381.2322148000487
382,857.0854967368517,-1381.2171188981022
383,862.08579535722,-1381.2020230215107
384,867.0860900606546,-1381.1869271702765
385,872.0863808471554,-1381.1718313443573
386,877.0866677167205,-1381.1567355431757
387,882.0869506693516,-1381.1416397654607
388,887.0872297052431,-1381.1265440625407
389,892.087504825953,-1381.1114490735815
390,897.0877762976613,-1381.0963543749665
391,902.0880444729314,-1381.0812597015924
392,907.0883097011291,-1381.0661650360448
393,912.0885723281327,-1381.05107037801
394,917.088832696671,-1381.0359757185643
395,922.089091146634,-1381.020881007161
396,927.0893480174234,-1381.0057867943349
397,932.0896036781147,-1380.9907040940834
398,937.089858554469,-1380.975663275029
399,942.0901096141988,-1380.9595815622981
400,947.0902934522114,-1380.9291112806432
